Common name,Scientific name,Maximumlength,Commonlength,Maximumweight,Maximumage,Trophiclevel,FishBase,FAO,IUCN status,image_url
Wahoo,"Acanthocybium solandri (Cuvier in Cuvier and Valenciennes, 1832)",250 cm,170 cm,83 kg,years,4.4,,,Least concern,https://placeimg.com/150/200/animals
Shark mackerel,"Grammatorcynus bicarinatus (Quoy & Gaimard, 1825)",112 cm,cm,13.5 kg,years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Double-lined mackerel,"G. bilineatus (Rüppell, 1836)",100 cm,50 cm,3.5 kg,years,4.18,,,Least concern,https://placeimg.com/150/200/animals
Serra Spanish mackerel,"Scomberomorus brasiliensis (Collette, Russo & Zavala-Camin, 1978)",cm,cm,kg,years,3.31,,,Least concern,https://placeimg.com/150/200/animals
King mackerel,"S. cavalla (Cuvier, 1829)",184 cm,70 cm,45 kg,14 years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Narrow-barred Spanish mackerel,"S. commerson (Lacepède, 1800)",240 cm,120 cm,kg,years,4.5,,,Near threatened,https://placeimg.com/150/200/animals
Monterey Spanish mackerel,"S. concolor (Lockington, 1879)",cm,cm,kg,years,4.24,,,Vulnerable,https://placeimg.com/150/200/animals
Indo-Pacific king mackerel,"S. guttatus (Bloch & Schneider, 1801)",76 cm,55 cm,kg,years,4.28,,,Data deficient,https://placeimg.com/150/200/animals
Korean mackerel,"S. koreanus (Kishinouye, 1915)",150 cm,60 cm,15 kg,years,4.2,,,Least concern,https://placeimg.com/150/200/animals
Streaked Spanish mackerel,"S. lineolatus (Cuvier, 1829)",80 cm,70 cm,kg,years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Atlantic Spanish mackerel,"S. maculatus (Mitchill, 1815)",91 cm,cm,5.89 kg,5 years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Papuan Spanish mackerel,"S. multiradiatusMunro, 1964",35 cm,cm,0.5 kg,years,4.0,,,Least concern,https://placeimg.com/150/200/animals
Australian spotted mackerel,"S. munroi (Collette & Russo, 1980)",104 cm,cm,10.2 kg,years,4.3,,,Near threatened,https://placeimg.com/150/200/animals
Japanese Spanish mackerel,"S. niphonius (Cuvier, 1832)",100 cm,cm,7.1 kg,years,4.5,,,Data deficient,https://placeimg.com/150/200/animals
Queen mackerel,"S. plurilineatusFourmanoir, 1966",120 cm,cm,12.5 kg,years,4.2,,,Data deficient,https://placeimg.com/150/200/animals
Queensland school mackerel,"S. queenslandicus (Munro, 1943)",100 cm,80 cm,12.2 kg,years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Cero mackerel,"S. regalis (Bloch, 1793)",183 cm,cm,7.8 kg,years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Broadbarred king mackerel,"S. semifasciatus (Macleay, 1883)",120 cm,cm,kg,10 years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Pacific sierra,"S. sierra (Cuvier, 1832)",99 cm,60 cm,8.2 kg,years,4.5,,,Least concern,https://placeimg.com/150/200/animals
Chinese mackerel,"S. sinensis (Cuvier, 1832)",247 cm,100 cm,kg,years,4.5,,,Data deficient,https://placeimg.com/150/200/animals
West African Spanish mackerel,"S. tritor (Cuvier, 1832)",cm,cm,kg,years,4.26,,,Least concern,https://placeimg.com/150/200/animals
